"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
58,0,0,0,0,0,0,0,20201006,20201212
59,0,0,0,0,0,0,1,20201006,20201212
60,1,1,1,1,1,1,0,20201006,20201212
61,0,0,0,0,0,0,0,20201006,20201212
62,0,0,0,0,0,0,0,20201006,20201212
63,0,0,0,0,0,0,0,20201006,20201212
64,1,1,1,1,1,1,0,20201006,20201212
65,1,1,1,1,1,1,0,20201006,20201212
66,1,1,1,1,1,0,0,20201006,20201212
67,0,0,0,0,0,0,1,20201006,20201212
68,0,0,0,0,0,1,0,20201006,20201212
69,0,0,0,0,0,1,0,20201006,20201212
70,0,0,0,0,0,0,1,20201006,20201212
71,0,1,1,1,1,0,0,20201006,20201212
72,0,0,0,0,0,0,0,20201006,20201212
73,0,0,0,0,0,0,0,20201006,20201212
74,1,1,1,1,1,0,1,20201006,20201212
75,0,1,1,1,1,0,0,20201006,20201212
76,0,0,0,0,1,0,0,20201006,20201212
77,1,1,1,1,0,0,0,20201006,20201212
78,0,0,0,0,0,0,1,20201006,20201212
79,0,0,0,0,1,1,0,20201006,20201212
80,0,0,0,0,0,0,0,20201006,20201212
81,1,1,1,1,1,1,0,20201006,20201212
82,1,1,1,1,1,1,0,20201006,20201212
83,1,1,1,1,1,0,0,20201006,20201212
84,0,0,0,0,0,1,1,20201006,20201212
85,0,0,0,0,0,0,1,20201006,20201212
86,0,0,0,0,0,0,1,20201006,20201212
87,0,0,0,0,0,0,0,20201006,20201212
88,0,0,0,0,0,0,0,20201006,20201212
89,0,0,0,0,0,1,0,20201006,20201212
90,0,0,0,0,0,0,0,20201006,20201212
91,1,1,1,1,1,1,1,20201006,20201212
92,0,0,0,0,0,0,0,20201006,20201212
93,0,0,0,0,0,1,1,20201006,20201212
94,1,1,1,1,1,0,1,20201006,20201212
95,0,0,0,0,0,1,0,20201006,20201212
96,1,1,1,1,1,1,1,20201006,20201212
97,1,1,1,1,1,1,1,20201006,20201212
98,0,0,0,0,0,1,1,20201006,20201212
99,1,1,1,1,1,1,1,20201006,20201212
100,1,1,1,1,1,0,0,20201006,20201212
101,0,0,0,0,0,0,0,20201006,20201212
102,0,0,0,0,0,1,0,20201006,20201212
103,1,1,1,1,1,0,0,20201006,20201212
104,0,0,0,0,0,1,0,20201006,20201212
105,1,1,1,1,1,0,0,20201006,20201212
106,0,0,0,0,0,1,0,20201006,20201212
107,0,0,0,0,1,0,0,20201006,20201212
108,1,1,1,1,0,0,0,20201006,20201212
109,1,1,1,1,1,1,0,20201006,20201212
110,0,0,0,0,0,1,0,20201006,20201212
111,0,0,0,0,0,0,0,20201006,20201212
112,0,0,0,0,0,0,0,20201006,20201212
113,0,0,0,0,0,0,0,20201006,20201212
114,0,0,0,0,0,0,0,20201006,20201212
115,0,0,0,0,0,0,0,20201006,20201212
116,1,1,1,1,1,1,0,20201006,20201212
117,1,1,1,1,1,1,1,20201006,20201212
118,1,1,1,1,1,0,1,20201006,20201212
119,1,1,1,1,1,1,1,20201006,20201212
120,0,0,0,0,0,0,0,20201006,20201212
121,0,0,0,0,0,0,0,20201006,20201212
122,0,0,0,0,0,0,0,20201006,20201212
123,0,0,0,0,0,0,0,20201006,20201212
124,1,1,1,1,1,0,0,20201006,20201212
125,0,1,1,1,1,1,0,20201006,20201212
126,0,0,0,0,0,0,0,20201006,20201212
127,1,1,1,1,1,0,0,20201006,20201212
128,0,0,0,0,0,1,1,20201006,20201212
129,1,1,1,1,1,0,0,20201006,20201212
130,1,1,1,1,1,1,0,20201006,20201212
131,1,0,0,0,0,0,0,20201006,20201212
132,0,1,1,1,1,1,1,20201006,20201212
133,0,1,1,1,1,1,1,20201006,20201212
134,0,0,0,0,0,1,0,20201006,20201212
135,0,0,0,0,0,0,0,20201006,20201212
136,1,1,1,1,1,1,0,20201006,20201212
137,0,0,0,0,1,1,0,20201006,20201212
138,0,0,0,0,1,0,0,20201006,20201212
139,0,0,0,0,1,1,0,20201006,20201212
140,0,0,0,0,0,1,0,20201006,20201212
141,1,1,1,1,1,0,0,20201006,20201212
142,1,1,1,1,1,0,0,20201006,20201212
143,0,0,0,0,0,1,0,20201006,20201212
144,0,0,0,0,0,0,0,20201006,20201212
145,0,0,0,0,0,0,0,20201006,20201212
146,0,0,0,0,0,0,0,20201006,20201212
147,0,0,0,0,0,0,0,20201006,20201212
148,0,0,0,0,0,0,0,20201006,20201212
149,0,0,0,0,0,1,0,20201006,20201212
150,1,1,1,1,1,0,0,20201006,20201212
151,0,0,0,0,0,0,0,20201006,20201212
152,1,1,1,1,1,1,0,20201006,20201212
153,0,0,0,0,0,0,0,20201006,20201212
154,0,0,0,0,0,1,0,20201006,20201212
155,0,0,0,0,0,0,0,20201006,20201212
156,0,0,0,0,0,0,0,20201006,20201212
157,1,1,1,1,1,1,0,20201006,20201212
158,0,1,0,1,0,0,0,20201006,20201212
159,1,0,1,0,1,0,0,20201006,20201212
160,0,1,0,1,1,0,0,20201006,20201212
161,0,0,1,0,0,0,0,20201006,20201212
162,0,0,1,0,0,0,0,20201006,20201212
163,0,0,0,0,0,0,0,20201006,20201212
164,0,0,0,0,0,1,0,20201006,20201212
165,1,0,1,0,0,0,0,20201006,20201212
166,0,0,0,0,1,0,0,20201006,20201212
167,1,1,1,1,0,0,0,20201006,20201212
168,1,1,0,1,1,0,0,20201006,20201212
169,0,0,0,1,1,0,0,20201006,20201212
170,1,1,1,1,1,0,0,20201006,20201212
171,1,1,1,1,1,0,0,20201006,20201212
172,0,1,0,1,0,0,0,20201006,20201212
173,0,0,0,1,1,0,0,20201006,20201212
174,1,1,1,0,1,0,0,20201006,20201212
175,0,0,0,1,0,0,0,20201006,20201212
176,1,1,1,0,1,0,0,20201006,20201212
177,0,0,0,0,0,0,0,20201006,20201212
178,1,1,1,1,1,0,0,20201006,20201212
179,0,1,0,1,0,0,0,20201006,20201212
180,0,0,0,0,0,0,0,20201006,20201212
181,0,0,0,0,0,0,0,20201006,20201212
182,0,0,0,0,0,0,0,20201006,20201212
183,0,0,0,0,0,0,0,20201006,20201212
184,0,0,0,0,1,0,0,20201006,20201212
185,0,0,0,0,0,0,0,20201006,20201212
186,1,0,1,0,0,0,0,20201006,20201212
187,0,0,0,0,0,0,0,20201006,20201212
188,0,0,0,0,0,1,0,20201006,20201212
189,0,1,0,0,0,0,0,20201006,20201212
190,1,1,1,1,1,1,0,20201006,20201212
191,0,0,0,0,0,0,0,20201006,20201212
192,1,1,1,1,1,1,1,20201006,20201212
193,0,0,0,0,0,0,0,20201006,20201212
194,0,0,0,0,0,1,0,20201006,20201212
195,0,0,0,0,0,1,1,20201006,20201212
196,0,0,0,0,0,0,0,20201006,20201212
197,0,0,0,0,0,1,0,20201006,20201212
198,0,0,0,0,0,0,0,20201006,20201212
199,1,0,1,0,1,0,0,20201006,20201212
200,1,1,1,1,1,0,0,20201006,20201212
201,0,1,0,1,0,0,0,20201006,20201212
202,1,1,1,1,0,0,0,20201006,20201212
203,1,0,0,0,0,0,0,20201006,20201212
204,0,1,1,1,1,0,0,20201006,20201212
205,0,1,1,1,1,0,0,20201006,20201212
206,0,0,0,0,0,0,1,20201006,20201212
207,0,1,1,1,1,1,0,20201006,20201212
208,0,1,0,1,0,1,0,20201006,20201212
209,0,1,0,1,0,1,0,20201006,20201212
210,0,0,0,0,0,1,0,20201006,20201212
211,1,1,1,1,1,1,0,20201006,20201212
212,1,0,1,0,1,1,0,20201006,20201212
213,0,0,0,0,0,0,0,20201006,20201212
214,0,1,0,1,0,1,0,20201006,20201212
215,1,1,1,1,1,1,0,20201006,20201212
216,1,0,1,0,1,0,0,20201006,20201212
217,0,0,0,0,0,1,1,20201006,20201212
218,0,0,0,0,0,1,1,20201006,20201212
219,0,1,0,1,0,0,0,20201006,20201212
220,0,1,1,1,0,0,0,20201006,20201212
